,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
V1,servic,say,health,report,job,conserv,immigr,tax,govern,compani,pct,senat,school,economi,lincoln,peopl,comput,obama,chang,court,american,limbaugh,think,retir,state,coulter,china,black,financi,get,budget,deduct,clinton,american,inflat,job,stock,percent,food,control,bush,children,iraq,rate,japanes,solidar,percent,reagan,world,research,market,militari,presid,save,peopl,tax,will,union,soviet,tax
V2,work,new,insur,newsweek,worker,reagan,republican,file,public,corpor,product,hous,job,econom,home,year,technolog,republican,polici,justic,america,year,know,year,tax,say,beij,action,bank,like,billion,tax,rich,econom,rate,robot,market,price,say,govern,democrat,famili,iraqi,inflat,stock,poland,incom,presid,global,like,economi,troop,said,buffett,even,incom,govern,labor,chalabi,incom
V3,mail,busi,care,said,unemploy,right,christian,pay,polit,firm,industri,republican,teacher,tax,like,life,ibm,parti,program,law,new,stern,one,benefit,new,year,chines,affirm,debt,make,cut,can,perot,wealth,price,work,fund,year,year,nation,republican,parent,saddam,year,compani,walesa,american,stockman,countri,one,stock,iraq,week,percent,year,rate,mani,worker,export,year
V4,time,offic,cost,death,employ,republican,bush,benefit,american,billion,percent,democrat,year,growth,year,home,use,ryan,problem,case,social,walmart,just,age,year,work,year,student,govern,work,spend,expens,white,peopl,percent,worker,investor,consum,american,reform,voter,money,offici,economi,japan,union,famili,budget,unit,can,fed,forc,administr,money,now,percent,next,organ,american,can
V5,year,mani,medic,one,work,polit,right,return,mccain,profit,year,bill,career,spend,famili,day,inform,presid,now,suprem,mani,south,can,plan,million,boomer,student,univers,market,want,tax,cost,presid,get,interest,new,percent,last,million,union,campaign,work,american,economist,ceo,govern,inequ,hous,trade,new,rate,soldier,hous,invest,good,reform,increas,leader,offici,deduct
V6,day,just,doctor,news,labor,new,polit,percent,america,million,new,budget,student,cut,one,player,new,democrat,need,judg,state,million,thing,percent,citi,babi,deng,school,crisi,help,deficit,home,hous,may,economist,year,year,oil,can,elect,presid,kid,last,econom,million,polish,class,tax,china,time,price,american,white,loan,time,cut,state,aflcio,russia,percent
V7,like,still,healthcar,email,wage,parti,illeg,state,presid,employe,econom,vote,educ,deficit,american,get,machin,tea,part,conserv,nation,africa,time,secur,local,time,like,white,credit,way,program,busi,democrat,much,increas,can,invest,rate,garden,state,war,time,one,recess,pay,soviet,wage,cut,american,may,recess,armi,last,tax,back,plan,expect,presid,pentagon,gain
V8,just,job,hospit,post,million,liber,parti,claim,nation,year,nation,congress,program,percent,new,new,compani,romney,futur,right,societi,ago,take,worker,california,mani,one,racial,obama,money,feder,new,campaign,rich,year,one,compani,spend,new,polit,parti,can,baghdad,industri,year,worker,poor,econom,state,work,may,one,congress,year,start,deduct,come,strike,militari,rate
V9,offic,director,medicar,articl,percent,movement,conserv,fraud,war,sell,competit,presid,salari,rate,live,live,product,gop,import,feder,polit,state,see,work,mexico,new,organ,prefer,regul,first,year,may,pardon,societi,rise,compani,million,product,citi,welfar,elect,child,forc,reagan,option,leader,top,democrat,foreign,american,economist,iraqi,new,rate,well,bill,alreadi,member,state,pay
V10,call,month,patient,like,train,buchanan,palin,year,republican,busi,will,year,work,invest,pictur,famili,industri,cut,way,rule,like,home,someth,social,feder,one,new,campus,energi,need,social,year,last,everyon,index,like,bain,economi,peopl,econom,candid,coupl,week,new,execut,week,rich,said,america,comput,year,war,plan,mortgag,though,pay,new,year,depart,will
V11,birth,find,system,terri,industri,now,dobson,payment,right,sale,economi,reagan,manag,job,austin,can,hightech,campaign,countri,state,world,radio,right,pension,billion,older,zhao,minor,system,come,secur,rule,even,debt,wage,industri,bond,month,farmer,demand,polit,one,shiit,price,bank,last,econom,regan,economi,year,last,command,washington,compani,live,taxpay,take,feder,west,may
V12,new,start,plan,year,mani,gop,state,taxpay,countri,dollar,manufactur,cut,train,recoveri,movi,mani,electron,photo,must,year,elit,citi,realli,can,voter,generat,young,colleg,economi,big,govern,job,new,street,may,human,share,cost,york,system,georg,marriag,citi,last,tokyo,warsaw,middl,ronald,europ,scienc,consum,polic,offici,pay,move,rais,face,reagan,defens,invest
V13,now,recent,pay,copyright,jobless,year,texa,million,like,benefit,growth,committe,mani,stimulus,life,time,one,tax,system,decis,govern,new,talk,save,drug,art,world,law,billion,ask,propos,incom,rubin,can,feder,product,goldman,sinc,percent,new,issu,wife,protest,carter,one,jaruzelski,earn,republican,european,microsoft,greenspan,offic,secretari,account,long,individu,can,teamster,russian,credit
V14,kerri,execut,american,michael,compani,like,famili,form,democrat,earn,japan,gop,teach,clinton,show,work,internet,reagan,effect,constitut,one,african,look,incom,governor,museum,first,race,treasuri,give,increas,use,one,crisi,economi,rais,capit,quarter,cost,franc,kerri,marri,say,per,market,communist,increas,one,econom,book,hous,last,democrat,home,run,revenu,end,campaign,govern,save
V15,women,take,percent,charg,forc,one,issu,last,politician,contract,technolog,tax,pay,economist,film,say,can,deal,major,rehnquist,cultur,univers,much,money,cut,home,wear,program,econom,one,congress,person,former,two,econom,manag,street,recoveri,farm,parti,like,financi,troop,busi,time,said,household,aid,dollar,also,week,kill,nation,market,hous,busi,current,contract,china,interest
V16,feel,univers,coverag,call,skill,conservat,border,number,educ,deal,decad,billion,graduat,year,hous,owner,manag,color,differ,legal,year,show,alway,retire,nation,conserv,parti,admiss,fund,use,defens,get,call,one,high,firm,time,home,home,offici,hous,husband,govern,interest,salari,parti,gap,polit,japan,now,street,haitian,aid,financi,use,propos,also,new,technolog,use
V17,home,may,nation,stori,year,democrat,evangel,secur,liber,equip,american,dole,busi,much,man,citi,becom,boehner,provid,robert,stori,american,tell,invest,servic,age,peopl,women,capit,lot,percent,employ,offic,social,rais,employ,wall,averag,even,support,gop,mani,militari,cut,paid,strike,year,administr,market,make,fall,week,one,can,hard,famili,see,employe,nation,taxabl
V18,law,last,year,media,program,leader,senat,incom,societi,cost,invest,leader,new,govern,book,one,access,like,begin,oconnor,live,make,never,compani,york,young,generat,protest,wall,deal,fiscal,return,bill,polit,bond,technolog,profit,busi,like,one,poll,divorc,nation,cent,american,offici,one,defens,export,internet,still,general,propos,purchas,reason,corpor,least,employ,year,peopl
V19,hour,two,physician,attack,new,war,candid,feder,conserv,execut,servic,pass,can,product,two,job,busi,polit,becom,liber,first,first,happen,life,cigarett,like,women,court,hous,look,dollar,also,week,equal,growth,comput,return,sale,local,presid,last,edelman,sunni,unemploy,last,one,colleg,white,growth,much,investor,unit,issu,cash,ago,break,allow,wage,countri,loss
V20,hospit,group,provid,even,hire,call,year,collect,civil,invest,univers,member,colleg,recess,time,also,offic,hous,believ,first,today,station,cours,account,fund,two,product,california,street,pay,revenu,spous,bentsen,recent,consum,machin,gain,energi,one,feder,senat,year,secur,feder,compens,pole,averag,spend,one,america,econom,british,month,buy,buy,invest,may,offici,one,get
