year	code	weight	code_label	id	binary1	binary2	three_code2	linearSVC_three_code2	linearSVC_binary1	linearSVC_binary2	b1	b2	tc
1981	5	6.67	irrelevant	1	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1982	3	10	relchanges (income/wages/earnings/etc.)	2	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1984	1	6.67	relinequality, explicit	3	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1995	5	6.67	irrelevant	4	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1991	5	6.67	irrelevant	5	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2004	5	6.67	irrelevant	6	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2012	1	6.67	relinequality, explicit	7	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2010	3	6.67	relchanges (income/wages/earnings/etc.)	8	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	1	2	1	2	2
2000	5	6.67	irrelevant	9	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2002	5	6.67	irrelevant	10	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1988	5	6.67	irrelevant	11	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1987	3	10	relchanges (income/wages/earnings/etc.)	12	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2002	1	6.67	relinequality, explicit	13	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1990	1	10	relinequality, explicit	14	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2005	5	6.67	irrelevant	15	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2004	5	6.67	irrelevant	16	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1982	4	6.67	releconomy (employment, economy)	17	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2011	5	6.67	irrelevant	18	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1980	2	6.67	relinequality, implicit	19	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1983	5	6.67	irrelevant	20	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1984	5	6.67	irrelevant	21	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1992	1	6.67	relinequality, explicit	22	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1996	5	6.67	irrelevant	23	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2007	2	10	relinequality, implicit	24	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
2006	3	10	relchanges (income/wages/earnings/etc.)	25	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2006	5	6.67	irrelevant	26	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2007	5	6.67	irrelevant	27	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	1	2	2	3
1981	1	10	relinequality, explicit	28	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2008	5	6.67	irrelevant	29	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	1	2	2	2	3
1994	3	10	relchanges (income/wages/earnings/etc.)	30	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2004	5	6.67	irrelevant	31	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2009	3	6.67	relchanges (income/wages/earnings/etc.)	32	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1984	3	10	relchanges (income/wages/earnings/etc.)	33	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1982	3	10	relchanges (income/wages/earnings/etc.)	34	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1990	3	10	relchanges (income/wages/earnings/etc.)	35	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1999	3	10	relchanges (income/wages/earnings/etc.)	36	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1990	3	10	relchanges (income/wages/earnings/etc.)	37	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1984	1	10	relinequality, explicit	38	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2008	3	10	relchanges (income/wages/earnings/etc.)	39	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1987	2	10	relinequality, implicit	40	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
2005	5	6.67	irrelevant	41	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1999	5	6.67	irrelevant	42	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2007	5	6.67	irrelevant	43	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2007	3	6.67	relchanges (income/wages/earnings/etc.)	44	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
1982	3	10	relchanges (income/wages/earnings/etc.)	45	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
2000	4	10	releconomy (employment, economy)	46	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2004	5	10	irrelevant	47	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2008	5	6.67	irrelevant	48	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2011	4	6.67	releconomy (employment, economy)	49	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
2007	5	10	irrelevant	50	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2011	2	6.67	relinequality, implicit	51	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1980	3	10	relchanges (income/wages/earnings/etc.)	52	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2007	3	6.67	relchanges (income/wages/earnings/etc.)	53	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	1	1	2	2
2010	1	6.67	relinequality, explicit	54	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1999	5	6.67	irrelevant	55	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2006	5	6.67	irrelevant	56	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1993	3	10	relchanges (income/wages/earnings/etc.)	57	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2007	5	6.67	irrelevant	58	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	2	2	2	3
1997	5	6.67	irrelevant	59	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	2	2	2	2	3
2003	5	6.67	irrelevant	60	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2008	2	6.67	relinequality, implicit	61	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1984	5	6.67	irrelevant	62	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2000	3	10	relchanges (income/wages/earnings/etc.)	63	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1995	5	10	irrelevant	64	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1984	2	6.67	relinequality, implicit	65	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	1	6.67	relinequality, explicit	66	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1995	5	6.67	irrelevant	67	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1989	5	6.67	irrelevant	68	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1984	2	6.67	relinequality, implicit	69	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1992	2	10	relinequality, implicit	70	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1990	2	6.67	relinequality, implicit	71	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1983	4	6.67	releconomy (employment, economy)	72	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1989	5	6.67	irrelevant	73	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2002	2	6.67	relinequality, implicit	74	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1992	3	6.67	relchanges (income/wages/earnings/etc.)	75	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2000	1	6.67	relinequality, explicit	76	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1992	5	6.67	irrelevant	77	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1987	4	6.67	releconomy (employment, economy)	78	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1998	5	6.67	irrelevant	79	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1986	3	10	relchanges (income/wages/earnings/etc.)	80	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2001	3	6.67	relchanges (income/wages/earnings/etc.)	81	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1983	2	6.67	relinequality, implicit	82	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1985	1	6.67	relinequality, explicit	83	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1999	1	1	relinequality, explicit	84	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1985	5	6.67	irrelevant	85	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1995	1	6.67	relinequality, explicit	86	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2002	1	6.67	relinequality, explicit	87	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2001	5	6.67	irrelevant	88	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1996	1	1	relinequality, explicit	89	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2002	3	10	relchanges (income/wages/earnings/etc.)	90	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2001	5	6.67	irrelevant	91	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2001	3	6.67	relchanges (income/wages/earnings/etc.)	92	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1986	1	6.67	relinequality, explicit	93	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1988	5	6.67	irrelevant	94	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1998	5	6.67	irrelevant	95	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1997	5	6.67	irrelevant	96	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2003	5	6.67	irrelevant	97	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	2	6.67	relinequality, implicit	98	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	1	2	1	1	1
2000	1	1	relinequality, explicit	99	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2000	1	6.67	relinequality, explicit	100	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2000	1	6.67	relinequality, explicit	101	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	5	6.67	irrelevant	102	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1987	5	6.67	irrelevant	103	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2012	5	6.67	irrelevant	104	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2012	1	6.67	relinequality, explicit	105	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1997	1	6.67	relinequality, explicit	106	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2006	5	6.67	irrelevant	107	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1992	4	10	releconomy (employment, economy)	108	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1995	3	10	relchanges (income/wages/earnings/etc.)	109	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1991	5	6.67	irrelevant	110	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	1	2	2	3
1990	3	10	relchanges (income/wages/earnings/etc.)	111	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2009	3	6.67	relchanges (income/wages/earnings/etc.)	112	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	1	2	1	2	2
1987	2	6.67	relinequality, implicit	113	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1999	3	6.67	relchanges (income/wages/earnings/etc.)	114	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
1981	5	6.67	irrelevant	115	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2008	5	6.67	irrelevant	116	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1996	5	6.67	irrelevant	117	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1982	5	6.67	irrelevant	118	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1995	1	1	relinequality, explicit	119	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2008	1	6.67	relinequality, explicit	120	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2011	4	6.67	releconomy (employment, economy)	121	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
2009	2	6.67	relinequality, implicit	122	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1990	2	6.67	relinequality, implicit	123	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1986	4	6.67	releconomy (employment, economy)	124	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
1985	3	10	relchanges (income/wages/earnings/etc.)	125	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2009	5	6.67	irrelevant	126	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	5	10	irrelevant	127	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	2	2	2	2	3
1999	5	6.67	irrelevant	128	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	3	10	relchanges (income/wages/earnings/etc.)	129	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1982	3	10	relchanges (income/wages/earnings/etc.)	130	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2006	5	6.67	irrelevant	131	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	1	2	2	2	3
2011	2	6.67	relinequality, implicit	132	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1987	3	10	relchanges (income/wages/earnings/etc.)	133	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
1993	3	10	relchanges (income/wages/earnings/etc.)	134	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1985	2	6.67	relinequality, implicit	135	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	5	6.67	irrelevant	136	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	1	2	2	2	3
1985	1	10	relinequality, explicit	137	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1985	2	6.67	relinequality, implicit	138	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1982	2	6.67	relinequality, implicit	139	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1980	5	6.67	irrelevant	140	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2001	5	6.67	irrelevant	141	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2009	4	6.67	releconomy (employment, economy)	142	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1999	2	6.67	relinequality, implicit	143	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1988	5	6.67	irrelevant	144	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1988	5	6.67	irrelevant	145	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1986	3	10	relchanges (income/wages/earnings/etc.)	146	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1983	5	6.67	irrelevant	147	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1982	2	6.67	relinequality, implicit	148	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
2010	4	6.67	releconomy (employment, economy)	149	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1982	4	6.67	releconomy (employment, economy)	150	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2009	4	6.67	releconomy (employment, economy)	151	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1998	5	6.67	irrelevant	152	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
