year	code	weight	code_label	id	binary1	binary2	three_code2	linearSVC_three_code2	linearSVC_binary1	linearSVC_binary2	b1	b2	tc
1981	5	6.67	irrelevant	1	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1982	3	10	relchanges (income/wages/earnings/etc.)	2	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1995	5	6.67	irrelevant	4	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1991	5	6.67	irrelevant	5	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2004	5	6.67	irrelevant	6	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2010	3	6.67	relchanges (income/wages/earnings/etc.)	8	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	1	2	1	2	2
2002	1	6.67	relinequality, explicit	13	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1990	1	10	relinequality, explicit	14	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2004	5	6.67	irrelevant	16	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2011	5	6.67	irrelevant	18	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	5	6.67	irrelevant	20	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2007	2	10	relinequality, implicit	24	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
2006	3	10	relchanges (income/wages/earnings/etc.)	25	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2006	5	6.67	irrelevant	26	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2007	5	6.67	irrelevant	27	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	1	2	2	3
1981	1	10	relinequality, explicit	28	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2008	5	6.67	irrelevant	29	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	1	2	2	2	3
2009	3	6.67	relchanges (income/wages/earnings/etc.)	32	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1982	3	10	relchanges (income/wages/earnings/etc.)	34	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1990	3	10	relchanges (income/wages/earnings/etc.)	35	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1990	3	10	relchanges (income/wages/earnings/etc.)	37	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1987	2	10	relinequality, implicit	40	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
2005	5	6.67	irrelevant	41	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2007	5	6.67	irrelevant	43	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2007	3	6.67	relchanges (income/wages/earnings/etc.)	44	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
1982	3	10	relchanges (income/wages/earnings/etc.)	45	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
2004	5	10	irrelevant	47	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2008	5	6.67	irrelevant	48	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2011	4	6.67	releconomy (employment, economy)	49	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
1980	3	10	relchanges (income/wages/earnings/etc.)	52	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2007	3	6.67	relchanges (income/wages/earnings/etc.)	53	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	1	1	2	2
2010	1	6.67	relinequality, explicit	54	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1999	5	6.67	irrelevant	55	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1993	3	10	relchanges (income/wages/earnings/etc.)	57	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2007	5	6.67	irrelevant	58	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	2	2	2	3
1997	5	6.67	irrelevant	59	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	2	2	2	2	3
1984	5	6.67	irrelevant	62	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1984	2	6.67	relinequality, implicit	65	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	1	6.67	relinequality, explicit	66	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1995	5	6.67	irrelevant	67	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1992	2	10	relinequality, implicit	70	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	4	6.67	releconomy (employment, economy)	72	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1989	5	6.67	irrelevant	73	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2002	2	6.67	relinequality, implicit	74	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1992	3	6.67	relchanges (income/wages/earnings/etc.)	75	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2000	1	6.67	relinequality, explicit	76	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1998	5	6.67	irrelevant	79	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2001	3	6.67	relchanges (income/wages/earnings/etc.)	81	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1985	5	6.67	irrelevant	85	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1995	1	6.67	relinequality, explicit	86	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2002	1	6.67	relinequality, explicit	87	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1996	1	1	relinequality, explicit	89	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2002	3	10	relchanges (income/wages/earnings/etc.)	90	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2001	5	6.67	irrelevant	91	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2001	3	6.67	relchanges (income/wages/earnings/etc.)	92	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1997	5	6.67	irrelevant	96	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2003	5	6.67	irrelevant	97	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	2	6.67	relinequality, implicit	98	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	1	2	1	1	1
2000	1	1	relinequality, explicit	99	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2000	1	6.67	relinequality, explicit	101	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	5	6.67	irrelevant	102	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1987	5	6.67	irrelevant	103	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1997	1	6.67	relinequality, explicit	106	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1991	5	6.67	irrelevant	110	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	1	2	2	3
1990	3	10	relchanges (income/wages/earnings/etc.)	111	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2009	3	6.67	relchanges (income/wages/earnings/etc.)	112	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	1	2	1	2	2
1999	3	6.67	relchanges (income/wages/earnings/etc.)	114	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
1981	5	6.67	irrelevant	115	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1996	5	6.67	irrelevant	117	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1982	5	6.67	irrelevant	118	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1995	1	1	relinequality, explicit	119	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2011	4	6.67	releconomy (employment, economy)	121	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
1986	4	6.67	releconomy (employment, economy)	124	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
1985	3	10	relchanges (income/wages/earnings/etc.)	125	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2009	5	6.67	irrelevant	126	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	5	10	irrelevant	127	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	2	2	2	2	3
1999	5	6.67	irrelevant	128	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	3	10	relchanges (income/wages/earnings/etc.)	129	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2006	5	6.67	irrelevant	131	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	1	2	2	2	3
2011	2	6.67	relinequality, implicit	132	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1987	3	10	relchanges (income/wages/earnings/etc.)	133	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
1993	3	10	relchanges (income/wages/earnings/etc.)	134	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1985	2	6.67	relinequality, implicit	135	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	5	6.67	irrelevant	136	irrelevant	relchanges/releconomy/irrelevant	irrelevant	2	1	2	2	2	3
1985	1	10	relinequality, explicit	137	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1985	2	6.67	relinequality, implicit	138	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1982	2	6.67	relinequality, implicit	139	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1980	5	6.67	irrelevant	140	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2009	4	6.67	releconomy (employment, economy)	142	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1988	5	6.67	irrelevant	144	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1982	2	6.67	relinequality, implicit	148	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
2010	4	6.67	releconomy (employment, economy)	149	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2008	3	6.67	relchanges (income/wages/earnings/etc.)	153	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1981	1	6.67	relinequality, explicit	154	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1981	5	6.67	irrelevant	155	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	2	2	2	3
2004	5	10	irrelevant	156	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2002	5	6.67	irrelevant	158	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2001	3	6.67	relchanges (income/wages/earnings/etc.)	159	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1981	2	6.67	relinequality, implicit	160	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1980	2	10	relinequality, implicit	162	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1984	2	6.67	relinequality, implicit	163	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
1995	5	10	irrelevant	165	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2001	1	6.67	relinequality, explicit	166	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1983	3	10	relchanges (income/wages/earnings/etc.)	167	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
2001	1	6.67	relinequality, explicit	169	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1984	4	10	releconomy (employment, economy)	170	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1990	5	6.67	irrelevant	174	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1989	5	10	irrelevant	175	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1997	1	6.67	relinequality, explicit	177	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
1986	5	10	irrelevant	178	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1985	3	10	relchanges (income/wages/earnings/etc.)	179	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2004	2	6.67	relinequality, implicit	182	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	1	2	1	1	1
1993	5	6.67	irrelevant	183	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2003	5	6.67	irrelevant	184	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	1	2	2	3
1994	5	6.67	irrelevant	186	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1991	2	6.67	relinequality, implicit	187	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
2007	1	6.67	relinequality, explicit	188	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1983	5	6.67	irrelevant	190	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1985	5	10	irrelevant	194	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1984	3	10	relchanges (income/wages/earnings/etc.)	196	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2003	5	10	irrelevant	197	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1996	5	6.67	irrelevant	199	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1981	5	6.67	irrelevant	200	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
1996	1	10	relinequality, explicit	202	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1993	5	6.67	irrelevant	203	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	1	2	2	3
1994	1	1	relinequality, explicit	204	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2012	4	6.67	releconomy (employment, economy)	207	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
2012	5	6.67	irrelevant	208	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1992	1	6.67	relinequality, explicit	209	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1998	1	6.67	relinequality, explicit	210	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1983	1	10	relinequality, explicit	211	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1990	1	10	relinequality, explicit	216	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2004	1	6.67	relinequality, explicit	217	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2004	5	10	irrelevant	218	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2003	5	10	irrelevant	219	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	1	6.67	relinequality, explicit	223	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2001	3	6.67	relchanges (income/wages/earnings/etc.)	224	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2001	3	6.67	relchanges (income/wages/earnings/etc.)	226	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
2009	3	6.67	relchanges (income/wages/earnings/etc.)	230	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1996	1	6.67	relinequality, explicit	231	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2010	2	6.67	relinequality, implicit	235	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	2	10	relinequality, implicit	236	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2001	4	6.67	releconomy (employment, economy)	237	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1981	3	6.67	relchanges (income/wages/earnings/etc.)	239	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2000	3	6.67	relchanges (income/wages/earnings/etc.)	240	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1991	1	6.67	relinequality, explicit	243	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
