ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60
1,2.34194529288828E-05,0.0013784286,0.0009414356,6.68417325353676E-06,0.0006019048,4.83126441766771E-07,1.20429858003498E-07,0.0006762073,8.33092387769682E-05,0.0030408449,0.0001004475,0.0055033528,9.96888017327348E-06,0.0004211317,2.33473925497192E-08,9.74327437767313E-06,2.74442487998525E-06,1.04454710256169E-06,0.0034112521,1.85778284634166E-06,2.69901896883891E-07,2.48021458406411E-05,0.0006842165,0.0019557032,0.0008913582,4.8478289483087E-06,3.26824036774039E-06,1.01326002102701E-07,0.000180488,0.0031210146,0.0346260234,0.6503593579,4.67563266136893E-05,0.0001121403,0.0623752526,2.09960675853168E-05,3.51235486532127E-06,0.0027832195,0.1661455797,0.0009425405,1.01737306159925E-05,6.05834471069674E-05,5.05234352152316E-08,0.0004684287,1.56852207499617E-05,1.04623793129858E-05,2.12237164017974E-05,0.0005097973,0.000187525,7.55205083641828E-07,1.85630815917905E-05,3.22166351051286E-06,0.0021249085,8.927355301916E-05,0.0014329185,0.0446788451,0.0057911183,0.000289122,5.27175158332545E-05,0.0037387737
2,6.82918401998243E-05,0.0132538983,0.0006164088,0.0282608101,0.0017746679,0.0005486996,2.56763628204061E-06,0.0001056706,0.0019201062,0.0004961784,0.0010562573,0.0045539828,0.0003127463,0.0455121969,2.11141097236905E-08,0.00000044,0.000270871,1.33209391535466E-05,0.0654905424,1.23345548473064E-05,4.71089037929047E-06,2.27183373189447E-05,0.0187915548,0.001125917,0.0006020519,0.0005942872,1.61293500702446E-05,0.000044417,0.0001976646,0.0210928185,0.3212009948,1.02299288860543E-05,0.0008975379,0.0014206298,0.0829772505,0.000019149,1.39654261558873E-05,0.0032946887,0.0001043946,0.0034020282,0.0017533123,0.0002989299,1.03125377720841E-05,0.1140143854,8.78765062256603E-06,0.0002593349,0.0006604398,0.0927683458,0.0005751136,3.1534226031152E-06,0.0024741746,0.0002003198,0.0873228102,0.0001460519,0.0248625085,0.00335341,0.0508714952,0.0001787562,0.0001137347,2.14723355984663E-05
3,2.34258722910924E-05,0.0071052393,0.0002575601,8.88122599628826E-05,0.0018505639,0.000169023,1.11155092263995E-05,0.0005950773,0.0042796085,0.010029525,0.0663877699,0.0002650963,0.0003484405,0.0126026078,0.0007950187,0.0788960034,0.0451304675,1.68933967812798E-05,0.0357996134,5.92169958818489E-06,0.0915727674,0.0288846899,0.0079223748,0.0001852114,0.0010530379,8.70322235376227E-06,4.38370538676077E-05,0.0011164962,0.0002362181,0.0114419898,0.0156478525,5.55724901390888E-05,0.0002307908,0.0001252428,0.0177617498,4.26835912402955E-05,6.2191452659364E-05,0.0355584937,0.0491830453,0.0371421146,0.0001628119,0.0012262876,0.0018645828,0.1590603617,1.22096681971095E-05,0.0021283476,0.0013859683,0.0132960435,0.0281146797,0.0001044712,0.0067970808,0.0025707165,0.027196542,0.0001765031,0.0139437077,0.0031156176,0.1210875401,0.0024931184,0.0523099673,2.05964670233454E-05
4,2.42463064082687E-06,0.0068784979,0.0003890449,0.0066550657,0.000060762,0.6615226124,0.0005990955,2.37196108231935E-05,0.0503461483,3.86524271949657E-05,4.22199459966332E-05,0.0028497035,0.0001245536,0.0010233109,0.0003087069,7.50583868270399E-06,4.94894638103353E-05,0.0007944769,0.0550399844,0.0001173575,0.00053427,1.40515005107595E-05,0.0720475352,0.0002959254,0.0003018722,0.0005239168,0.0002589558,0.0017750424,0.0003271055,0.0297714852,0.000616372,3.21035440831797E-05,0.0005166871,0.0012147775,0.000276695,2.2214965356055E-06,1.25952697104932E-06,3.39759397287101E-05,2.41433522978305E-06,0.0021715537,0.0023640311,0.0018951652,0.0010781863,0.000057831,7.87054742183647E-06,0.0081558216,0.001097842,0.0012953639,0.0009789354,4.18767218827852E-06,0.000008961,0.0002169935,0.0194938777,0.0001479473,0.0457644098,0.0045808396,0.0150365689,2.74357472672953E-05,0.0001346899,6.14898837378092E-05
5,0.0008383395,0.0069294171,0.0003176796,0.0006318049,0.0007989774,1.47456023375267E-07,0.000030343,0.7638671462,0.0005752762,0.0010333323,6.01407226600787E-06,0.0001669414,0.0001073656,5.29656096028903E-06,0.000230386,0.0002409394,0.0001176716,8.20266891722359E-07,0.003726197,0.0003134117,8.55582801330238E-05,1.63094060712146E-05,0.1472544084,0.0005775923,0.0002277708,2.30008459084463E-06,3.4287221191359E-05,4.80502173397971E-05,0.000019605,0.0333108848,0.000082336,0.0008227799,0.0001910015,1.31579558371204E-06,6.52214520972287E-05,8.10625398182815E-05,0.0001228799,3.58607093415474E-05,2.03235346011387E-07,0.0001263158,0.0001182827,0.0014080856,0.000000349,7.44057943805847E-07,6.35547143501407E-05,4.676518022618E-05,8.64471342216714E-05,6.27794918560067E-05,4.59631847175581E-05,2.14179406749846E-06,4.86860312674522E-06,2.34936317953326E-05,0.0016452792,0.0002964097,0.0262444472,0.0006510094,0.0047541755,5.8598560992324E-05,2.46261339246055E-05,0.0014187288
6,0.0002680471,0.05376547,0.0004283981,0.270446126,0.0002872898,0.0407157236,0.0008726789,2.45653038769079E-05,0.0009146714,0.0014891303,6.14978081395943E-06,0.0023502649,0.0008783813,0.0002516957,1.93924677631202E-05,2.09627017511064E-06,0.0019326644,0.0008056118,0.0024292731,0.0031492113,1.06474624143907E-06,0.0006788308,0.0245016171,5.93002366884216E-05,0.0001729714,8.36380639534511E-05,0.0009584812,0.0139417815,1.17752991027428E-05,0.0190198184,0.000089424,2.6306123327404E-06,0.0029633233,4.71354191413531E-05,7.62777709646799E-05,5.49224650725951E-05,0.0003012713,0.0002291894,5.19065248061319E-05,0.0002799658,0.004654733,0.0004333521,0.0022624425,3.35986556333679E-06,0.0005092534,0.0001366272,9.16482578957546E-05,0.0002133173,0.0002260999,0.4500404895,0.0007035714,0.0009291804,0.0697126457,6.96540791290355E-05,0.0141331552,5.32214595045943E-05,0.0106380172,0.0001601679,0.0004643222,2.57456557986173E-06
7,3.407387200432E-05,0.0136195595,0.0002946974,0.0341567849,0.0002011898,0.0026564936,0.0001413918,5.44095113159253E-05,0.0573535098,0.0010207839,5.3988492425739E-05,0.0001782087,8.85323118770196E-05,0.003488534,7.59793318836847E-06,4.90860183338786E-08,7.07690600093171E-05,0.0028907464,0.0191522311,0.0016100277,0.0007237129,0.000007605,0.0563288281,8.14824016680222E-05,0.0005097593,8.75372753198252E-05,0.3220790534,0.0008072213,0.1342683234,0.0132432924,0.0004539151,1.08585420549148E-06,0.0004662795,0.029754807,0.0006310814,6.22075867976614E-07,0.0628393032,0.0008952342,1.04949456420185E-06,0.0022515935,0.0158461426,0.000033502,0.0006202413,0.000002263,9.30087088714705E-05,0.0004300798,0.0002435155,0.000016044,0.1580232262,0.0002295791,0.0002945997,0.0009087999,0.0145335944,0.0007668893,0.0251491384,0.0001466632,0.0199698103,5.29391244818624E-05,0.0001195428,1.50552172736698E-05
8,3.39153595198838E-06,0.0242374681,0.0003734795,0.0004804475,0.0021093094,0.0002428715,0.0004360878,6.36795506896494E-05,0.1254017991,0.0029307948,0.0010258097,3.1543766996789E-05,0.5049847316,0.0070274342,0.0002222197,0.000015529,0.0021740901,0.0038913589,0.0356017299,0.0002114479,0.0002280882,0.0002538979,0.0492665681,0.0007204071,0.0001204764,0.0002289264,0.0005799867,0.0008276003,0.0038825325,0.0857366561,0.000144477,5.96807762142126E-05,0.0015035751,0.0001024003,0.000305601,6.40095113510391E-05,4.25997752927302E-05,4.11181683103712E-05,0.0001309225,0.0037653837,0.0037484904,0.0006548481,0.0044447939,9.32356882207288E-07,0.0005928056,0.0002271637,0.000577961,6.08106009054556E-05,0.0409211634,0.000077896,7.17814039581302E-06,0.000641421,0.0097490705,0.0001678096,0.0179956733,0.0002159631,0.022492971,0.0001365701,0.0378002589,1.60880620638609E-05
9,5.27874321153718E-06,0.004207754,6.96228533711254E-05,0.0002724675,0.0044364197,3.40945625688096E-05,0.0446985018,9.63564475341388E-05,0.0011753708,0.0004164433,0.0001760588,0.0001153185,4.85233785638693E-05,0.0002454546,1.62483657730035E-07,0.000001806,3.93754910626088E-05,6.29534477769692E-05,0.0036560493,0.0001175225,1.85659147928533E-05,0.0002395278,0.0045846599,1.88106546405048E-05,0.0004986891,4.61847889945005E-06,0.8861868112,0.0004855443,0.0001187364,0.0042422919,3.8417669035578E-05,1.5078754448883E-05,1.38533855618049E-05,0.000257967,0.0003766339,0.000008404,3.27039347303361E-05,0.0004596882,4.51873190665778E-05,0.0026621027,5.12298486705369E-05,6.26118754299503E-05,0.0004186254,8.18844968470761E-07,4.11886257098601E-05,0.0008510923,0.0001086495,0.000010255,0.0026773406,0.0001129457,1.28243982934873E-05,0.0009069087,0.0030039753,1.75643336663807E-05,0.0062260142,7.83193949201591E-05,0.0249949035,0.0002180057,2.22263144119601E-05,6.7351103662496E-07
10,4.54668524729724E-05,0.0379606583,0.0001772526,0.0009682994,0.001289323,0.000329187,0.0005282983,0.000294076,0.0010239459,0.0002886276,7.88626864735919E-05,0.0010923086,7.31617630200232E-05,0.0013362364,1.61138989273151E-06,2.84930640904961E-07,0.0001021846,0.0001954016,0.0066910026,0.0001491312,2.18245696651936E-08,6.77686317974018E-05,0.052444024,0.0003776055,4.38548758561081E-05,5.85311435671541E-05,1.89331498387112E-05,0.0002641053,8.12046531184764E-05,0.0279564277,0.0005647624,1.61567844001264E-06,0.0003945082,5.53868701174348E-06,0.0005000661,3.29442536855928E-05,0.0003977931,0.0021152925,0.000000097,8.92502380165147E-05,0.7234350493,3.67445737698641E-05,0.0004619732,0.000142666,6.16270875550543E-06,0.0001308606,0.000136887,0.0007471392,0.0006899418,0.0002760808,0.0006630799,0.000705051,0.0823297069,0.0001991141,0.0293148468,0.0002899127,0.0222781091,7.00948585980501E-05,1.15790609799055E-05,3.53347450785415E-05
